season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,day,year,month,hour,weekday,log-casual,log-registered,log-count
1,0,0,1,9.84,14.395,81,0,3,13,1,2011,1,0,5,1.386294361,2.63905733,2.833213344
1,0,0,1,9.02,13.635,80,0,8,32,1,2011,1,1,5,2.197224577,3.496507561,3.713572067
1,0,0,1,9.02,13.635,80,0,5,27,1,2011,1,2,5,1.791759469,3.33220451,3.496507561
1,0,0,1,9.84,14.395,75,0,3,10,1,2011,1,3,5,1.386294361,2.397895273,2.63905733
1,0,0,1,9.84,14.395,75,0,0,1,1,2011,1,4,5,0,0.693147181,0.693147181
1,0,0,2,9.84,12.88,75,6.0032,0,1,1,2011,1,5,5,0,0.693147181,0.693147181
1,0,0,1,9.02,13.635,80,0,2,0,1,2011,1,6,5,1.098612289,0,1.098612289
1,0,0,1,8.2,12.88,86,0,1,2,1,2011,1,7,5,0.693147181,1.098612289,1.386294361
1,0,0,1,9.84,14.395,75,0,1,7,1,2011,1,8,5,0.693147181,2.079441542,2.197224577
1,0,0,1,13.12,17.425,76,0,8,6,1,2011,1,9,5,2.197224577,1.945910149,2.708050201
1,0,0,1,15.58,19.695,76,16.9979,12,24,1,2011,1,10,5,2.564949357,3.218875825,3.610917913
1,0,0,1,14.76,16.665,81,19.0012,26,30,1,2011,1,11,5,3.295836866,3.433987204,4.043051268
1,0,0,1,17.22,21.21,77,19.0012,29,55,1,2011,1,12,5,3.401197382,4.025351691,4.442651256
1,0,0,2,18.86,22.725,72,19.9995,47,47,1,2011,1,13,5,3.871201011,3.871201011,4.553876892
1,0,0,2,18.86,22.725,72,19.0012,35,71,1,2011,1,14,5,3.583518938,4.276666119,4.672828834
1,0,0,2,18.04,21.97,77,19.9995,40,70,1,2011,1,15,5,3.713572067,4.262679877,4.709530201
1,0,0,2,17.22,21.21,82,19.9995,41,52,1,2011,1,16,5,3.737669618,3.970291914,4.543294782
1,0,0,2,18.04,21.97,82,19.0012,15,52,1,2011,1,17,5,2.772588722,3.970291914,4.219507705
1,0,0,3,17.22,21.21,88,16.9979,9,26,1,2011,1,18,5,2.302585093,3.295836866,3.583518938
1,0,0,3,17.22,21.21,88,16.9979,6,31,1,2011,1,19,5,1.945910149,3.465735903,3.63758616
1,0,0,2,16.4,20.455,87,16.9979,11,25,1,2011,1,20,5,2.48490665,3.258096538,3.610917913
